"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
0, 2.715928541798358e-02, 0.000000000000000e+00, 1.074471899546567e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.313441452205940e+05, 1.000000000000000e-10, 6.491109255307433e+12, 9.253765808823756e+04, 3.000224738089666e+02, 0.000000000000000e+00, 1.733261003574868e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.846022589359425e-05, 1.928320511974041e-05, 3.678023338157260e-04, 1.983196160742930e+06, 1.153904379607861e-02, 1.655297819348770e-23
1, 3.000000000000000e-02, 3.153127057970293e-03, 7.777450894894707e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.674468717675741e+04, 1.000000000000000e-10, 8.815747530961444e+13, 6.697874870702961e+03, 3.000061083487942e+02, 0.000000000000000e+00, 1.145015859545593e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.845945154139952e-05, 9.122847600122339e-03, 1.119584708111794e-03, 3.702606782352790e+05, 1.550943095126237e-02, 8.822225077634903e-26
2, 2.642260400000000e+00, 2.777127587147804e-01, 6.455855896979432e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.389992376736575e+04, 1.000000000000000e-10, 1.423633348710727e+14, 5.559969506946297e+03, 3.000191161099416e+02, 0.000000000000000e+00, 9.304306223865257e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.846006702154614e-05, -1.662602307714783e-03, -6.928495761363556e-04, 1.558397971510498e+05, 5.395007435412930e-03, 4.534764415641470e-26
3, 2.852267600000000e+00, 4.668047427647817e-01, 6.762007644345325e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.457976571769817e+05, 1.000000000000000e-10, 1.728094342354068e+13, 5.831906287079264e+04, 3.004451685977151e+02, 0.000000000000000e+00, 1.087969610822827e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.848021910674352e-05, 1.760548245491260e-02, 1.585210224964604e-02, 1.241736397491761e+06, 5.630912247506105e-02, 3.912985593648201e-24
8, 2.717666616988048e-02, 3.315154857014053e-04, 1.111332089170235e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.392878896449284e+05, 1.000000000000000e-10, 6.321864228222858e+12, 9.571515585797129e+04, 3.000317406579046e+02, 0.000000000000000e+00, 1.793181989467727e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.846066435701327e-05, 3.116093227893042e-04, 2.963604951673214e-03, 2.676417930349221e+06, 3.337971015132653e-02, 1.757918311831042e-23
9, 2.722861785057543e-02, 6.593959984942660e-04, 1.088298728704795e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.343304945899447e+05, 1.000000000000000e-10, 6.461450162730818e+12, 9.373219783597784e+04, 3.000343813368878e+02, 0.000000000000000e+00, 1.755787533744173e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.846078930023404e-05, 1.504483015225505e-03, 7.075205545342178e-03, 2.761840190844460e+06, 5.146346136683999e-02, 1.684294858423581e-23
10, 2.731457082468178e-02, 9.800464219130002e-04, 1.014237923355762e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.183819080737284e+05, 1.000000000000000e-10, 6.921688752494321e+12, 8.735276322949128e+04, 3.000317033959460e+02, 0.000000000000000e+00, 1.635484692086558e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.846066259396700e-05, 3.446359469072601e-03, 1.060240097878574e-02, 2.602825252754560e+06, 6.167858541658240e-02, 1.465304147041054e-23
11, 2.743358264231179e-02, 1.289950915363389e-03, 9.212879368870682e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.983662279808761e+05, 1.000000000000000e-10, 7.604265673892181e+12, 7.934649119235041e+04, 3.000286218268507e+02, 0.000000000000000e+00, 1.484503086887158e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.846051678942940e-05, 5.800245986898802e-03, 1.302186285132894e-02, 2.406095706276056e+06, 6.647301655498453e-02, 1.211540964501116e-23
12, 2.758434837277128e-02, 1.585711464313642e-03, 8.099294436369709e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.743871745998015e+05, 1.000000000000000e-10, 8.628443911743290e+12, 6.975486983992056e+04, 3.000251701198246e+02, 0.000000000000000e+00, 1.303625097538715e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.846035347093863e-05, 8.360499330831092e-03, 1.447400997020510e-02, 2.171590890816862e+06, 6.749051077017326e-02, 9.386738233698324e-24
13, 2.776521491275320e-02, 1.864085138556213e-03, 6.849520342679486e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.474762194960371e+05, 1.000000000000000e-10, 1.017351396200272e+13, 5.899048779841481e+04, 3.000213582647836e+02, 0.000000000000000e+00, 1.100631285678867e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.846017311088041e-05, 1.078657135209705e-02, 1.483882401010962e-02, 1.899033717449185e+06, 6.502172196242241e-02, 6.732698621398903e-24
